"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
500,"smooth",TRUE,10124,"ML","GCV",TRUE,"pkg","pkg_refined",0.925999999999476,0.0648180610815744,0.882675290746225,0.712,0.647499527007018,0.718,0.660584947626963,0.95,1.2253313833867,19.6126445727047,4.00802037914342,5e-05,5000,10001,35
1000,"smooth",TRUE,10125,"ML","GCV",TRUE,"pkg","pkg_refined",0.594999999999345,0.0544527728182177,0.873621435144278,0.703,0.636337589826995,0.71,0.642737080140029,0.952,1.22434574245194,19.8141111734056,4.01728294697651,5e-05,5000,10002,35
200,"piecewise",TRUE,10126,"ML","GCV",TRUE,"pkg","pkg_refined",1.44999999999891,0.133897020974309,1.20875153299974,0.71,0.805714381864934,0.73,0.846216282756925,0.95,1.62672713806908,18.6867805365042,4.00330442572712,5e-05,5000,10003,35
500,"piecewise",TRUE,10127,"ML","GCV",TRUE,"pkg","pkg_refined",1.85999999999876,0.0644262668477517,1.10595694353359,0.714,0.799182855194572,0.724,0.81517469865653,0.948,1.4870870849823,19.425262830119,4.65967860444794,5e-05,30.2330950453523,10004,35
1000,"piecewise",TRUE,10128,"ML","GCV",TRUE,"pkg","pkg_refined",0.367000000000189,0.0521821276807522,1.14228985934455,0.706,0.800318275829154,0.709,0.808313451127909,0.949,1.59050594057186,19.6845291281436,8.84344341079028,5e-05,0.0285280787939051,10005,35
200,"sine",TRUE,10129,"ML","GCV",TRUE,"pkg","pkg_refined",0.327000000001135,0.110103382350005,0.75945587305175,0.73,0.645535481829139,0.745,0.678629577637058,0.95,1.13990126221728,19.0308021418584,4.42467604998861,5e-05,22.1834366548931,10006,35
500,"sine",TRUE,10130,"ML","GCV",TRUE,"pkg","pkg_refined",0.22400000000016,0.0636276576540498,0.818768814438814,0.722,0.692458530960476,0.732,0.706370446919988,0.948,1.20084580685551,19.5009851075082,4.99324575963298,5e-05,10.2304414473301,10007,35
1000,"sine",TRUE,10131,"ML","GCV",TRUE,"pkg","pkg_refined",2.17599999999948,0.0460102025400805,0.770535545819554,0.725,0.714136114878723,0.732,0.721295658548326,0.948,1.2384385789669,19.7533738471966,4.01559114865792,5e-05,5000,10008,35
200,"smooth",FALSE,10132,"BIC","ML",TRUE,"pkg","pkg_refined",1.3130000000001,0.114615912978223,0.80383139515387,0.755,0.682979019768493,0.77,0.703713656303749,0.95,1.31408621525077,11.612205787023,20.0648573917337,30.2330950453523,5e-05,10009,35
500,"smooth",FALSE,10133,"BIC","ML",TRUE,"pkg","pkg_refined",1.58899999999994,0.0276110932108299,0.911047832496339,0.732,0.677090555364048,0.732,0.680527957599193,0.952,1.30275651158652,5.03832587305186,20.1377109826262,5000,5e-05,10010,35
1000,"smooth",FALSE,10134,"BIC","ML",TRUE,"pkg","pkg_refined",1.43400000000111,0.0387801092636517,0.907759164344594,0.708,0.645088687765735,0.709,0.646955899531367,0.95,1.22076909899971,5.76397112646188,20.203957128693,5000,5e-05,10011,35
200,"piecewise",FALSE,10135,"BIC","ML",TRUE,"pkg","pkg_refined",1.27900000000045,0.110851933328291,1.15437262742096,0.72,0.837442307354218,0.725,0.845990526423719,0.95,1.53177738497069,4.02133766035103,20.0677280277098,5000,5e-05,10012,35
500,"piecewise",FALSE,10136,"BIC","ML",TRUE,"pkg","pkg_refined",1.66899999999987,0.0396109046985576,1.21654885148974,0.7,0.830986083892231,0.7,0.834950779140406,0.952,1.51996821673959,4.73714519100241,20.1236253244605,5000,5e-05,10013,35
1000,"piecewise",FALSE,10137,"BIC","ML",TRUE,"pkg","pkg_refined",1.875,0.0258744547131017,1.08938731265427,0.707,0.811480315743634,0.71,0.81365697560736,0.95,1.53564945827434,5.34315782368845,20.2182042387102,5000,5e-05,10014,35
200,"sine",FALSE,10138,"BIC","ML",TRUE,"pkg","pkg_refined",1.27100000000064,0.0382190699925421,0.761297523326887,0.725,0.651320204741517,0.725,0.65975599512523,0.945,1.29439584992934,5.08179455839618,20.084776713898,2691.92181101675,5e-05,10015,35
500,"sine",FALSE,10139,"BIC","ML",TRUE,"pkg","pkg_refined",1.51500000000124,0.0214179734207341,0.99428451281386,0.688,0.641096796646433,0.688,0.644510739049083,0.95,1.27407844396823,5.28292407941359,20.1849418265676,5000,5e-05,10016,35
1000,"sine",FALSE,10140,"BIC","ML",TRUE,"pkg","pkg_refined",1.97199999999975,0.0182298219826925,0.832034945542133,0.723,0.706534726234759,0.725,0.708565049583103,0.951,1.2923325055813,5.72259345291261,20.2376028345739,5000,5e-05,10017,35
