"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
1000,"piecewise",TRUE,18624,"ML","GCV",FALSE,"pkg","pkg_base",0.775999999998021,0.0677557920342524,1.16880891623797,0.692,0.805771793480118,0.705,0.813710889144705,0.952,1.52484662183896,19.4181168564743,8.54032373618271,1e-04,0.0407539296587177,18501,65
200,"sine",TRUE,18625,"ML","GCV",FALSE,"pkg","pkg_base",0.50800000000163,0.12227121607787,0.874865481546402,0.71,0.565061427147317,0.73,0.593541192939873,0.95,1.17661525019916,18.7326495383503,4.84694460507713,1e-04,5.56881399094526,18502,65
500,"sine",TRUE,18626,"ML","GCV",FALSE,"pkg","pkg_base",0.0829999999987194,0.0587171423555079,0.804398549812474,0.736,0.670364505085626,0.746,0.683547044998816,0.948,1.2686011836747,19.0995262423767,4.37630319597748,1e-04,65.0967523045816,18503,65
1000,"sine",TRUE,18627,"ML","GCV",FALSE,"pkg","pkg_base",0.0889999999999418,0.0384418228235585,0.903121753718019,0.694,0.639154704006614,0.699,0.645503142899196,0.949,1.20953959808847,19.5730144839163,4.68784340838802,1e-04,49.5353520895916,18504,65
200,"smooth",FALSE,18628,"BIC","ML",FALSE,"pkg","pkg_base",0.425999999999476,0.0628043005769723,1.11557621985636,0.715,0.630973368300577,0.715,0.640935625429286,0.95,1.23399222028404,6.16900365305148,20.0403313804177,1000,1e-04,18505,65
500,"smooth",FALSE,18629,"BIC","ML",FALSE,"pkg","pkg_base",0.540000000000873,0.0166015232377035,1.05472433040734,0.686,0.640202709193032,0.686,0.644683534988721,0.95,1.27230158662413,6.92627370161774,20.0571190337694,1000,1e-04,18506,65
1000,"smooth",FALSE,18630,"BIC","ML",FALSE,"pkg","pkg_base",0.796000000002095,0.0303884405995299,0.86579155131444,0.718,0.681057909459539,0.724,0.683691261571741,0.948,1.24573250527726,7.68850269720952,20.1048203322365,1000,1e-04,18507,65
200,"piecewise",FALSE,18631,"BIC","ML",FALSE,"pkg","pkg_base",0.474000000001979,0.0819504385751819,1.10821501125457,0.71,0.835381237422968,0.715,0.847366334515194,0.95,1.58087968347764,5.61756609364662,20.0234062349379,1000,1e-04,18508,65
500,"piecewise",FALSE,18632,"BIC","ML",FALSE,"pkg","pkg_base",0.79399999999805,0.0674633806656211,0.959047603592374,0.73,0.850638089161201,0.732,0.856190667718409,0.948,1.42131933885163,6.46418466785098,20.0804160327195,1000,1e-04,18509,65
1000,"piecewise",FALSE,18633,"BIC","ML",FALSE,"pkg","pkg_base",0.121999999999389,0.0299367157183084,1.02152480335471,0.714,0.882903830133145,0.714,0.885997777953631,0.948,1.53111170542077,6.97190496714928,20.089551202301,1000,1e-04,18510,65
200,"sine",FALSE,18634,"BIC","ML",FALSE,"pkg","pkg_base",0.444999999999709,0.0685464059832026,1.40171016633476,0.66,0.594330325115826,0.66,0.604161167776015,0.945,1.12471371651666,6.455801204651,20.03492600215,1000,1e-04,18511,65
500,"sine",FALSE,18635,"BIC","ML",FALSE,"pkg","pkg_base",0.11200000000099,0.05221582754145,0.66885732881618,0.758,0.642368229425849,0.762,0.646924411893056,0.948,1.09365223870604,7.01803612286239,20.0629904176464,1000,1e-04,18512,65
