"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
200,"piecewise",TRUE,7624,"BIC","GCV",FALSE,"pkg","pkg_base",0.0960000000013679,0.0544061717847528,1.15884572604874,0.695,0.785761233539143,0.7,0.794396876777727,0.945,1.46211267506651,4.32464314481458,4.88019261425746,1000,5.56881399094526,7501,27
500,"piecewise",TRUE,7625,"BIC","GCV",FALSE,"pkg","pkg_base",0.613999999999578,0.0390984867504998,1.05401143593151,0.722,0.810439082389077,0.722,0.814120487392081,0.948,1.55932582940683,4.51171825972137,4.48171786893919,1000,49.5353520895916,7502,27
1000,"piecewise",TRUE,7626,"BIC","GCV",FALSE,"pkg","pkg_base",0.162000000000262,0.0234574580794396,1.15916668136755,0.701,0.824257891385697,0.703,0.826234937470733,0.948,1.61199802808975,4.77995067364602,4.82931733535555,1000,37.6939097538835,7503,27
200,"sine",TRUE,7627,"BIC","GCV",FALSE,"pkg","pkg_base",0.505999999999403,0.0519483426188192,0.865056533817418,0.72,0.6509931879141,0.725,0.658227840736259,0.95,1.27314490547757,4.37228303012844,4.54531465595936,1000,16.6088278262771,7504,27
500,"sine",TRUE,7628,"BIC","GCV",FALSE,"pkg","pkg_base",0.157999999999447,0.0327400406394614,0.984493874386799,0.654,0.629649703018868,0.656,0.632625560628801,0.95,1.19155228609267,4.6929166964878,4.03509699343226,1000,1000,7505,27
1000,"sine",TRUE,7629,"BIC","GCV",FALSE,"pkg","pkg_base",0.122999999999593,0.0329243119566941,0.959304488446203,0.704,0.654190702902654,0.704,0.65581020625072,0.95,1.2586960359646,4.93284186014822,5.94522453031383,1000,2.45375110663981,7506,27
200,"smooth",FALSE,7630,"AIC","GCV",FALSE,"pkg","pkg_base",0.070000000001528,0.0385963925060423,1.01549027470554,0.71,0.750693814919642,0.715,0.761096535053441,0.945,1.30183610941761,5.42986546972879,3.00782313557002,1000,1000,7507,27
500,"smooth",FALSE,7631,"AIC","GCV",FALSE,"pkg","pkg_base",0.0750000000007276,0.0322699964277518,0.854409311211934,0.716,0.700112202101354,0.72,0.704763093029776,0.952,1.28058497726134,6.57745210959368,3.48704717339025,1000,1000,7508,27
1000,"smooth",FALSE,7632,"AIC","GCV",FALSE,"pkg","pkg_base",0.174999999999272,0.0257829592884878,0.939410703604047,0.706,0.628168795329526,0.709,0.630644753228325,0.95,1.22850732757483,7.83673472155084,3.94528587927986,1000,1000,7509,27
200,"piecewise",FALSE,7633,"AIC","GCV",FALSE,"pkg","pkg_base",0.46599999999853,0.0751351976835879,2.52636730392911,0.76,0.935901762066406,0.77,0.965392159964635,0.95,1.71187094453919,12.0324035415213,19.7807844726789,12.638482029343,0.00116895181649858,7510,27
500,"piecewise",FALSE,7634,"AIC","GCV",FALSE,"pkg","pkg_base",0.554000000000087,0.034877863312087,1.19343398904397,0.682,0.805735870987234,0.684,0.81095761558999,0.95,1.60127255373412,6.41825656961243,5.47771796368988,1000,85.5467253556567,7511,27
1000,"piecewise",FALSE,7635,"AIC","GCV",FALSE,"pkg","pkg_base",0.719999999999345,0.0468656814228365,1.25485393159452,0.702,0.825693727684138,0.702,0.828697312953457,0.953,1.69319473271937,7.23579632852253,8.5249581600946,1000,16.6088278262771,7512,27
200,"sine",FALSE,7636,"AIC","GCV",FALSE,"pkg","pkg_base",0.457999999998719,0.0398249322966642,0.962949020664573,0.715,0.697950668199211,0.72,0.708056955228516,0.945,1.32080537842762,5.66856315794415,4.17591506692676,1000,147.737765259851,7513,27
500,"sine",FALSE,7637,"AIC","GCV",FALSE,"pkg","pkg_base",0.435999999999694,0.0221679500958623,0.993348094028896,0.684,0.6717407413355,0.69,0.676389273379206,0.95,1.35623605370902,6.84895403208811,5.23245869343653,1000,112.421003506208,7514,27
1000,"sine",FALSE,7638,"AIC","GCV",FALSE,"pkg","pkg_base",0.115999999999985,0.0262445333021068,0.751965528539273,0.72,0.701348304669296,0.723,0.70403862742384,0.949,1.21626224986954,7.62794191997896,4.82029843943786,1000,335.292414924955,7515,27
200,"smooth",TRUE,7639,"AIC","GCV",FALSE,"pkg","pkg_base",0.188000000000102,0.0466717236510506,0.932211968930704,0.69,0.645312908645068,0.7,0.652525411054986,0.945,1.22119341572706,4.39685152897821,4.01554461634324,1000,1000,7516,27
500,"smooth",TRUE,7640,"AIC","GCV",FALSE,"pkg","pkg_base",0.603000000000975,0.0210666608562328,0.96741352662628,0.71,0.639902819086197,0.72,0.642879647999221,0.95,1.21095533485299,4.61974106751427,4.03256409834306,1000,1000,7517,27
1000,"smooth",TRUE,7641,"AIC","GCV",FALSE,"pkg","pkg_base",0.277000000000044,0.0220194850222838,0.955157913527397,0.691,0.639594939943964,0.694,0.641179800176567,0.95,1.21037270280535,4.93746632030347,4.25921054377031,1000,255.140652003128,7518,27
200,"piecewise",TRUE,7642,"AIC","GCV",FALSE,"pkg","pkg_base",0.081000000000131,0.0296560419684039,1.07580633195423,0.64,0.791480198021525,0.65,0.800136384057747,0.95,1.44770745081152,4.30394878550845,5.08276028874997,1000,3.22459054529639,7519,27
500,"piecewise",TRUE,7643,"AIC","GCV",FALSE,"pkg","pkg_base",0.0849999999991269,0.0342956661882342,1.10936072591338,0.714,0.841676648813994,0.714,0.845803934153041,0.95,1.6194284888573,4.8678139492104,4.03997809388322,335.292414924955,1000,7520,27
1000,"piecewise",TRUE,7644,"AIC","GCV",FALSE,"pkg","pkg_base",0.0799999999999272,0.0460345675094736,1.13672423215201,0.694,0.837592815636525,0.695,0.839672529283032,0.948,1.58506488528684,4.94749669845101,6.82854479027627,579.044398060247,0.476393801040134,7521,27
200,"sine",TRUE,7645,"AIC","GCV",FALSE,"pkg","pkg_base",0.502999999998792,0.0561184142615029,0.710178699200664,0.76,0.64895556662782,0.775,0.662725611088929,0.95,1.24862336870163,8.22481558426335,4.93872765385659,0.476393801040134,5.56881399094526,7522,27
500,"sine",TRUE,7646,"AIC","GCV",FALSE,"pkg","pkg_base",0.609000000000378,0.0445588685802129,0.853387377806879,0.682,0.655592145571828,0.684,0.658702773351276,0.954,1.21989930884885,4.71120484182937,4.04462063198374,1000,1000,7523,27
1000,"sine",TRUE,7647,"AIC","GCV",FALSE,"pkg","pkg_base",0.316000000000713,0.0169396192213089,0.906679262314278,0.69,0.665391400114063,0.692,0.667383250425129,0.951,1.25919005464623,5.96022821283473,6.23681524458606,85.5467253556567,1.42083083253392,7524,27
200,"smooth",FALSE,7648,"GCV","GCV",FALSE,"pkg","pkg_base",0.447999999998501,1.30419036433781,1.76841866848417,0.73,2.15512439544401,0.76,2.28087914296718,0.95,4.48756915253848,21.4457748211884,20.0020026618834,1e-04,1e-04,7525,27
500,"smooth",FALSE,7649,"GCV","GCV",FALSE,"pkg","pkg_base",0.549000000000888,0.0449871521720692,0.957791604157661,0.67,0.597710119952249,0.674,0.603235174064702,0.95,1.13110965737799,9.11709538966595,3.48175946943315,255.140652003128,1000,7526,27
