"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
200,"piecewise",TRUE,21124,"GCV","ML",TRUE,"pkg","pkg_refined",1.45300000000134,0.0892937758232115,1.05580314003935,0.68,0.722566370443463,0.685,0.732048810060846,0.945,1.29879018484774,5.1477589629589,14.0026908275747,104.303224673598,5e-05,21001,73
500,"piecewise",TRUE,21125,"GCV","ML",TRUE,"pkg","pkg_refined",1.84599999999773,0.05189867553838,0.906808254407627,0.752,0.849689372966883,0.756,0.856603218447704,0.952,1.52728975900376,8.03866312303816,15.8103716092464,1.00343908383249,5e-05,21002,73
1000,"piecewise",TRUE,21126,"GCV","ML",TRUE,"pkg","pkg_refined",0.272000000000844,0.0332482993578476,1.19091027087118,0.706,0.798003375999731,0.709,0.800816570091671,0.952,1.6111587148349,7.01347437776786,16.5982773062336,7.50655364454087,5e-05,21003,73
200,"sine",TRUE,21127,"GCV","ML",TRUE,"pkg","pkg_refined",1.40399999999863,0.0377797434400476,0.836671411836042,0.725,0.812122973682929,0.735,0.820587780300766,0.945,1.51116553330874,4.10493519061221,14.2633486278345,5000,5e-05,21004,73
500,"sine",TRUE,21128,"GCV","ML",TRUE,"pkg","pkg_refined",1.25600000000122,0.0281225564022414,0.915723556297366,0.67,0.632456946024883,0.678,0.636056318363804,0.952,1.25690810792287,5.64287885587852,15.6688330855817,76.5321570278181,5e-05,21005,73
1000,"sine",TRUE,21129,"GCV","ML",TRUE,"pkg","pkg_refined",0.555000000000291,0.0323680430510274,0.815104292865113,0.699,0.664543153512376,0.701,0.667904654558226,0.951,1.23655498185214,10.040481970821,16.882642459713,0.290854566468718,5e-05,21006,73
200,"smooth",FALSE,21130,"ML","ML",TRUE,"pkg","pkg_refined",1.29599999999846,0.107702072773796,0.708110987980651,0.72,0.679256329732652,0.735,0.717449489658005,0.95,1.17795085029587,20.7270687837356,20.0764957166497,5e-05,5e-05,21007,73
500,"smooth",FALSE,21131,"ML","ML",TRUE,"pkg","pkg_refined",1.53700000000026,0.0629977087586881,0.962291765306624,0.714,0.664309769476971,0.716,0.678977302611109,0.95,1.29918809347079,21.3690602982348,20.1500708585752,5e-05,5e-05,21008,73
1000,"smooth",FALSE,21132,"ML","ML",TRUE,"pkg","pkg_refined",2.04200000000128,0.0498904178523887,0.855050074959982,0.703,0.657004009464845,0.709,0.664203807723646,0.951,1.20173518186924,21.56198602887,20.2246891916024,5e-05,5e-05,21009,73
200,"piecewise",FALSE,21133,"ML","ML",TRUE,"pkg","pkg_refined",1.28300000000309,22.2073123498653,4.47729081749305,0.7,36.335311045078,0.725,38.5141864322311,0.95,104.406526673832,21.9892208299593,20.0659299627308,5e-05,5e-05,21010,73
500,"piecewise",FALSE,21134,"ML","ML",TRUE,"pkg","pkg_refined",1.53000000000247,0.0605562961877869,1.21448742615696,0.694,0.783883438882103,0.702,0.801193837821898,0.95,1.53303786464918,21.3723531070244,20.1664361988136,5e-05,5e-05,21011,73
1000,"piecewise",FALSE,21135,"ML","ML",TRUE,"pkg","pkg_refined",1.94899999999689,0.0644862989152767,1.02169004224038,0.716,0.84587811567796,0.724,0.855149142679882,0.95,1.5739757342362,21.5652953205164,20.2573746873247,5e-05,5e-05,21012,73
200,"sine",FALSE,21136,"ML","ML",TRUE,"pkg","pkg_refined",1.33699999999953,1.08205089576258,6.46781704772414,0.69,3.98130919662453,0.71,4.21705901552992,0.95,8.4161852637506,21.73649150152,20.1103754895714,5e-05,5e-05,21013,73
500,"sine",FALSE,21137,"ML","ML",TRUE,"pkg","pkg_refined",1.58000000000175,0.0541602861804736,0.85400241754013,0.704,0.650144938334335,0.712,0.664597076014758,0.95,1.18918915935837,21.5092765788569,20.1820950960788,5e-05,5e-05,21014,73
1000,"sine",FALSE,21138,"ML","ML",TRUE,"pkg","pkg_refined",2.0470000000023,0.0401774007727148,0.808726626646768,0.715,0.666077461855905,0.721,0.673434879268711,0.949,1.17617475859366,21.7310605969059,20.2753628232237,5e-05,5e-05,21015,73
200,"smooth",TRUE,21139,"ML","ML",TRUE,"pkg","pkg_refined",1.42399999999907,0.0893769027037782,1.16652814029024,0.71,0.579941983368785,0.735,0.609805079792917,0.95,1.33606887307745,19.1089762552697,13.7085772030755,5e-05,5e-05,21016,73
500,"smooth",TRUE,21140,"ML","ML",TRUE,"pkg","pkg_refined",1.46700000000055,0.0702592251763968,0.941074340563449,0.71,0.660360965528925,0.718,0.673665302447989,0.95,1.22877293585762,19.5541653644629,15.598891388074,5e-05,5e-05,21017,73
1000,"smooth",TRUE,21141,"ML","ML",TRUE,"pkg","pkg_refined",1.55100000000311,0.0605894600524877,0.899845977205019,0.715,0.665531398493795,0.72,0.672216004415452,0.949,1.23839386808339,19.7893828950164,16.7821955092867,5e-05,5e-05,21018,73
200,"piecewise",TRUE,21142,"ML","ML",TRUE,"pkg","pkg_refined",1.13200000000143,0.113141528298715,1.97754962610486,0.635,0.735974398797568,0.655,0.773446682750677,0.95,1.71882628579938,18.9099261175026,14.0341199819148,5e-05,5e-05,21019,73
500,"piecewise",TRUE,21143,"ML","ML",TRUE,"pkg","pkg_refined",1.25200000000041,0.0702872004560926,0.931824352227058,0.73,0.795375809828062,0.742,0.811360931895332,0.95,1.48000308917374,19.5075408276088,16.1055051968308,5e-05,5e-05,21020,73
1000,"piecewise",TRUE,21144,"ML","ML",TRUE,"pkg","pkg_refined",1.56200000000172,0.0492666492249605,1.07405977549315,0.721,0.833377365428741,0.723,0.841681630512476,0.953,1.57708754596958,19.6352138633551,16.7469883500847,5e-05,5e-05,21021,73
200,"sine",TRUE,21145,"ML","ML",TRUE,"pkg","pkg_refined",1.13299999999799,0.0657951230466004,0.944518841511313,0.73,0.805013747751361,0.75,0.845740046113452,0.95,1.4724618550642,18.7980790361878,14.2524598146548,5e-05,5e-05,21022,73
500,"sine",TRUE,21146,"ML","ML",TRUE,"pkg","pkg_refined",1.72300000000178,0.0650234671018373,0.82119807197306,0.722,0.691810997565828,0.732,0.705793598748624,0.948,1.28729388154654,19.6149356226316,15.9406438647242,5e-05,5e-05,21023,73
1000,"sine",TRUE,21147,"ML","ML",TRUE,"pkg","pkg_refined",0.538000000000466,0.0456359496052479,0.81163185297259,0.712,0.654795476384434,0.715,0.661372620137696,0.95,1.17697414742519,19.7904783670005,16.8253022522485,5e-05,5e-05,21024,73
200,"smooth",FALSE,21148,"BIC","GCV",FALSE,"pkg","pkg_base",0.437000000001717,0.0344906424673946,1.09902100727565,0.715,0.618221011562096,0.715,0.627552515888365,0.95,1.18948852857517,5.90365104098058,3.03286350965599,1000,1000,21025,74
500,"smooth",FALSE,21149,"BIC","GCV",FALSE,"pkg","pkg_base",0.535000000003492,0.0228881729941419,0.820976326080107,0.716,0.660743831349627,0.72,0.665268493137312,0.948,1.18766612723604,6.77812914086577,4.04314813321866,1000,440.623642777356,21026,74
1000,"smooth",FALSE,21150,"BIC","GCV",FALSE,"pkg","pkg_base",0.104000000002998,0.0285576002103689,0.916121301102933,0.717,0.66048848113979,0.717,0.6630479679302,0.95,1.22901021174113,7.70546687787255,3.95996984348461,1000,1000,21027,74
200,"piecewise",FALSE,21151,"BIC","GCV",FALSE,"pkg","pkg_base",0.451000000000931,0.0449429324374081,1.0631079535431,0.69,0.812123730225639,0.695,0.823132265564815,0.95,1.48546682300766,5.31381116575048,3.00820561227068,1000,1000,21028,74
500,"piecewise",FALSE,21152,"BIC","GCV",FALSE,"pkg","pkg_base",0.548999999999069,0.0231175684541037,1.21554589732694,0.686,0.82616995780977,0.69,0.831478883336944,0.948,1.64188206805233,6.36453665187517,9.19208161320488,1000,5.56881399094526,21029,74
