"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
1000,"piecewise",TRUE,23124,"AIC","ML",TRUE,"pkg","pkg_refined",1.20100000000093,0.0310243699774479,1.17407093123754,0.703,0.790741117657102,0.706,0.792945412874198,0.95,1.49640249480679,5.55203860640398,16.9004695571393,142.151522965133,5e-05,23001,80
200,"sine",TRUE,23125,"AIC","ML",TRUE,"pkg","pkg_refined",0.760000000002037,0.0374628907907565,1.04513006521623,0.67,0.611041681520712,0.67,0.618209653680527,0.945,1.25302218235893,4.61100425900027,14.7082610019315,910.907349283491,5e-05,23002,80
500,"sine",TRUE,23126,"AIC","ML",TRUE,"pkg","pkg_refined",0.695999999999913,0.0381403663054069,0.667999709709888,0.722,0.696312838910275,0.726,0.699533646501011,0.948,1.20752985988238,4.59362269588148,15.8842976869493,1241.44644028017,5e-05,23003,80
1000,"sine",TRUE,23127,"AIC","ML",TRUE,"pkg","pkg_refined",1.09999999999854,0.0278442759752655,0.876464577370373,0.709,0.677446026853993,0.71,0.679541499399781,0.95,1.30344045673173,6.15780501606746,16.685934702786,48.1020163553239,5e-05,23004,80
200,"smooth",FALSE,23128,"GCV","ML",TRUE,"pkg","pkg_refined",0.652000000001863,0.330986310476993,0.866425261904371,0.77,0.923833836411491,0.795,0.977687017639157,0.95,1.92367931759102,21.4260826085412,20.026708532029,5e-05,5e-05,23005,80
500,"smooth",FALSE,23129,"GCV","ML",TRUE,"pkg","pkg_refined",0.650000000001455,0.037859265073737,0.928893371342361,0.722,0.676254085557929,0.722,0.679632669743431,0.95,1.32254754707215,4.95883617812002,20.1516245165003,5000,5e-05,23006,80
1000,"smooth",FALSE,23130,"GCV","ML",TRUE,"pkg","pkg_refined",1.09000000000015,0.0302889238644292,0.99073632853134,0.692,0.686141992890555,0.692,0.688218991422858,0.95,1.34188528989355,6.02675828904896,20.2549526082524,3668.7339853257,5e-05,23007,80
200,"piecewise",FALSE,23131,"GCV","ML",TRUE,"pkg","pkg_refined",0.180000000000291,0.067045903887139,1.19207476982828,0.73,0.89546185402383,0.735,0.904440692840441,0.95,1.80792614831394,3.95129162949284,20.1240716070642,5000,5e-05,23008,80
500,"piecewise",FALSE,23132,"GCV","ML",TRUE,"pkg","pkg_refined",0.774999999997817,0.0601478623304456,1.05127409016558,0.72,0.908405487672648,0.72,0.913476262973901,0.95,1.69032413528961,5.53566884279209,20.1294385949063,1691.92757671412,5e-05,23009,80
1000,"piecewise",FALSE,23133,"GCV","ML",TRUE,"pkg","pkg_refined",0.991000000001804,0.0271813105098667,1.11573528751835,0.718,0.818987114089166,0.718,0.821317262565047,0.949,1.54985536147254,5.66612580958659,20.2073100645928,3668.7339853257,5e-05,23010,80
