"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
500,"sine",TRUE,11624,"GCV","ML",TRUE,"pkg","pkg_refined",1.70899999999892,0.0285591324910262,1.00052627138819,0.696,0.680982907871209,0.698,0.683901799714303,0.948,1.31024559489144,4.25889157658955,15.9061620763736,5000,5e-05,11501,40
1000,"sine",TRUE,11625,"GCV","ML",TRUE,"pkg","pkg_refined",1.91500000000087,0.030306372595778,0.904894114858367,0.704,0.645743491732676,0.705,0.647174164002322,0.949,1.22200825334222,4.41640386325763,16.8283511228189,5000,5e-05,11502,40
200,"smooth",FALSE,11626,"ML","ML",TRUE,"pkg","pkg_refined",1.07600000000093,3.56693385923904,0.9668488237794,0.775,4.52430165073496,0.795,4.79354765983002,0.95,7.98911494022186,21.8363915732898,20.0961345694244,5e-05,5e-05,11503,40
500,"smooth",FALSE,11627,"ML","ML",TRUE,"pkg","pkg_refined",0.683999999999287,0.0748778921654052,1.1071788308008,0.682,0.687875409413282,0.698,0.703024297349764,0.95,1.4541163717977,21.3160103860088,20.1401952486687,5e-05,5e-05,11504,40
1000,"smooth",FALSE,11628,"ML","ML",TRUE,"pkg","pkg_refined",2.0719999999983,0.0421430334028336,0.845039075188565,0.715,0.686942218580555,0.718,0.694502723105379,0.952,1.25649557702393,21.6539172298494,20.2547738715661,5e-05,5e-05,11505,40
200,"piecewise",FALSE,11629,"ML","ML",TRUE,"pkg","pkg_refined",1.27100000000064,0.150938137017586,0.955722209391484,0.755,0.819296153883978,0.79,0.867765114768525,0.945,1.29116925517159,21.7180188562546,20.1231772402622,5e-05,5e-05,11506,40
500,"piecewise",FALSE,11630,"ML","ML",TRUE,"pkg","pkg_refined",1.51500000000124,0.0594976470666641,1.08012454971114,0.716,0.860808386529327,0.732,0.879736054433665,0.952,1.52003506228913,21.2837165467569,20.1243962550081,5e-05,5e-05,11507,40
1000,"piecewise",FALSE,11631,"ML","ML",TRUE,"pkg","pkg_refined",1.61700000000019,0.0532704638408285,1.14889757598899,0.698,0.775411579148769,0.703,0.78373940149746,0.952,1.49193113962801,21.13860302925,20.1710016951083,5e-05,5e-05,11508,40
200,"sine",FALSE,11632,"ML","ML",TRUE,"pkg","pkg_refined",1.2599999999984,0.171558859921061,1.94531712633789,0.685,0.67424934584862,0.73,0.713897058913171,0.95,1.27595287600467,21.5979357313181,20.0837041022437,5e-05,5e-05,11509,40
500,"sine",FALSE,11633,"ML","ML",TRUE,"pkg","pkg_refined",1.53800000000047,0.0709576642261016,0.844081897146257,0.698,0.654675359305724,0.712,0.669424140859196,0.948,1.2389109647621,21.7893386820745,20.158573031064,5e-05,5e-05,11510,40
1000,"sine",FALSE,11634,"ML","ML",TRUE,"pkg","pkg_refined",1.28199999999924,0.0515571780808014,0.94809502977478,0.693,0.624417674471115,0.696,0.63131289371498,0.952,1.20141122176721,21.7247730159502,20.2040616915859,5e-05,5e-05,11511,40
200,"smooth",TRUE,11635,"ML","ML",TRUE,"pkg","pkg_refined",1.42299999999886,0.08934407514769,0.953881796759623,0.705,0.671518159673334,0.75,0.706309526634593,0.95,1.24953379078456,19.2179159718256,14.3258970899939,5e-05,5e-05,11512,40
500,"smooth",TRUE,11636,"ML","ML",TRUE,"pkg","pkg_refined",1.6919999999991,0.0539696628666917,0.795858874856726,0.716,0.65091224777262,0.726,0.66408012260731,0.95,1.23178963344312,19.632155585609,15.6392410022345,5e-05,5e-05,11513,40
1000,"smooth",TRUE,11637,"ML","ML",TRUE,"pkg","pkg_refined",0.680000000000291,0.0470610894116514,0.917499687253073,0.697,0.662359244430955,0.698,0.669007270033983,0.948,1.29537345904535,19.7755540783198,16.7885177150483,5e-05,5e-05,11514,40
200,"piecewise",TRUE,11638,"ML","ML",TRUE,"pkg","pkg_refined",0.387000000000626,0.0889355610379605,0.672650889126074,0.78,0.887010972998159,0.805,0.931273805397652,0.95,1.34174444649722,18.5599306236421,14.4482125151427,5e-05,5e-05,11515,40
500,"piecewise",TRUE,11639,"ML","ML",TRUE,"pkg","pkg_refined",1.09799999999996,0.0797492226565449,1.09832128643182,0.7,0.845698750686203,0.714,0.862584522663023,0.954,1.65392983520277,19.3841835224729,15.8863635224548,5e-05,5e-05,11516,40
1000,"piecewise",TRUE,11640,"ML","ML",TRUE,"pkg","pkg_refined",1.50199999999859,0.045181756225,1.08944683630233,0.718,0.790142753024496,0.723,0.798044526053866,0.951,1.54527918154791,19.7048003962283,17.0018855942671,5e-05,5e-05,11517,40
200,"sine",TRUE,11641,"ML","ML",TRUE,"pkg","pkg_refined",1.46299999999974,0.116319974532717,0.569220898829768,0.765,0.642964936379443,0.77,0.676497478792096,0.95,1.11501514283524,19.3357561232901,14.6332099691095,5e-05,5e-05,11518,40
500,"sine",TRUE,11642,"ML","ML",TRUE,"pkg","pkg_refined",1.625,0.0672654512896925,0.838176026044915,0.706,0.668684606367259,0.72,0.682189332007708,0.95,1.22310032430467,19.6002119579082,15.8039772780423,5e-05,5e-05,11519,40
1000,"sine",TRUE,11643,"ML","ML",TRUE,"pkg","pkg_refined",1.26400000000103,0.0366286981759932,0.932198079218267,0.679,0.603875343317289,0.686,0.609939749995971,0.949,1.18099671572812,19.7864097256618,16.5445186875467,5e-05,5e-05,11520,40
200,"smooth",FALSE,11644,"BIC","GCV",FALSE,"pkg","pkg_base",0.432000000000698,0.0357420712840415,0.650095387327959,0.715,0.654581847147988,0.715,0.664075065280513,0.94,1.05230246313664,5.67728897783986,5.12506279330107,1000,49.5353520895916,11521,41
500,"smooth",FALSE,11645,"BIC","GCV",FALSE,"pkg","pkg_base",0.118999999998778,0.0350074913011564,0.805817168347846,0.682,0.639051881400116,0.684,0.643498890101796,0.952,1.1486755336559,6.88679267011957,3.51657189249464,1000,1000,11522,41
1000,"smooth",FALSE,11646,"BIC","GCV",FALSE,"pkg","pkg_base",0.0949999999993452,0.0226319679210948,0.804237619898729,0.704,0.649584358195564,0.707,0.652109406610693,0.948,1.188163794421,7.72925544543406,3.92938084190397,1000,1000,11523,41
200,"piecewise",FALSE,11647,"BIC","GCV",FALSE,"pkg","pkg_base",0.0820000000003347,0.0377672644346876,1.50404094254038,0.675,0.801856981397527,0.675,0.812913532270472,0.945,1.61893909535324,5.40345885281114,2.98552526104483,1000,1000,11524,41
500,"piecewise",FALSE,11648,"BIC","GCV",FALSE,"pkg","pkg_base",0.134000000000015,0.0501108288778524,1.25002385830234,0.664,0.758520505612338,0.664,0.763581605415333,0.95,1.50743948583718,6.60614108285815,5.2226350376105,1000,112.421003506208,11525,41
1000,"piecewise",FALSE,11649,"BIC","GCV",FALSE,"pkg","pkg_base",0.67699999999968,0.0374971095907216,1.16094200305459,0.696,0.75356523990227,0.697,0.75637923255343,0.951,1.47374467803672,7.42685254946896,12.4172348111601,1000,1.86718109129192,11526,41
200,"sine",FALSE,11650,"BIC","GCV",FALSE,"pkg","pkg_base",0.444999999999709,0.0498649794440455,0.617745535006288,0.75,0.619454897875405,0.75,0.628930751095132,0.955,1.11345057592794,5.98124374850959,7.03243893435353,1000,9.61724871115295,11527,41
