"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
200,"sine",FALSE,6124,"AIC","ML",TRUE,"pkg","pkg_refined",1.40000000000146,0.0970296678916149,0.737732620565238,0.725,0.568082803435109,0.765,0.601300896369823,0.95,1.05706546968305,21.487111873722,20.0715363083522,0.000374041322761255,5e-05,6001,21
500,"sine",FALSE,6125,"AIC","ML",TRUE,"pkg","pkg_refined",1.51599999999962,0.045600246395491,1.10980340119813,0.692,0.642297512155064,0.696,0.646107542064945,0.95,1.31711641733064,5.87951173892729,20.1433071075035,2305.87388385414,5e-05,6002,21
1000,"sine",FALSE,6126,"AIC","ML",TRUE,"pkg","pkg_refined",1.56999999999971,0.0168462046087895,0.840347706876051,0.725,0.687356948676902,0.726,0.689717627474058,0.948,1.2790059677912,6.83363489873816,20.2174315326454,1975.18900678333,5e-05,6003,21
200,"smooth",TRUE,6127,"AIC","ML",TRUE,"pkg","pkg_refined",0.363999999999578,0.0733838718992201,0.748937020748376,0.755,0.80825958663281,0.76,0.821752205074036,0.95,1.35050968905735,6.51381307094765,14.6307613958172,5.50790969367951,5e-05,6004,21
500,"smooth",TRUE,6128,"AIC","ML",TRUE,"pkg","pkg_refined",1.73999999999978,0.0586139330924249,0.901500686334492,0.702,0.708373186340384,0.702,0.71599926357231,0.952,1.31811213154477,10.5942363689987,15.53215180204,0.0618595817266081,5e-05,6005,21
1000,"smooth",TRUE,6129,"AIC","ML",TRUE,"pkg","pkg_refined",1.64300000000003,0.0128198208589252,0.944814305389986,0.715,0.683175053861395,0.716,0.68466042244427,0.946,1.2928439310415,4.33428784660514,16.7760544064579,5000,5e-05,6006,21
200,"piecewise",TRUE,6130,"AIC","ML",TRUE,"pkg","pkg_refined",1.23400000000038,0.113999323822973,1.1973196050165,0.705,0.855305405430722,0.715,0.868595912780001,0.95,1.67271753340565,6.07363187982791,14.1313591739549,7.50655364454087,5e-05,6007,21
500,"piecewise",TRUE,6131,"AIC","ML",TRUE,"pkg","pkg_refined",1.79800000000068,0.0388610601860659,1.02814978180289,0.75,0.855499618681364,0.754,0.85904714352753,0.95,1.53773349180701,4.12107856340085,15.4469645672022,5000,5e-05,6008,21
1000,"piecewise",TRUE,6132,"AIC","ML",TRUE,"pkg","pkg_refined",1.67100000000028,0.0302995573116744,1.11711861600325,0.696,0.81465752659847,0.697,0.816588274054557,0.95,1.59322263113245,4.72322561749132,16.8102451906498,1063.41087364811,5e-05,6009,21
200,"sine",TRUE,6133,"AIC","ML",TRUE,"pkg","pkg_refined",0.452000000001135,0.0648413495612526,0.713028952811845,0.74,0.733284487445456,0.75,0.741867288970624,0.95,1.22523483978228,4.60090665165235,14.4662374673155,420.087493464718,5e-05,6010,21
500,"sine",TRUE,6134,"AIC","ML",TRUE,"pkg","pkg_refined",1.25800000000163,0.024674149979201,0.783501796376627,0.694,0.608872796003908,0.702,0.612560630788162,0.948,1.15223396205803,6.00223744021142,15.785823168271,48.1020163553239,5e-05,6011,21
1000,"sine",TRUE,6135,"AIC","ML",TRUE,"pkg","pkg_refined",0.512000000000626,0.0265289927845391,0.875606037580276,0.724,0.689306651823168,0.725,0.69079160334861,0.948,1.3262608997104,4.2946550303015,16.4429808555529,5000,5e-05,6012,21
200,"smooth",FALSE,6136,"GCV","ML",TRUE,"pkg","pkg_refined",1.31600000000071,5.14923712390874,6.2371355512854,0.7,7.82108842271054,0.74,8.29027882578388,0.95,20.2457288917001,21.997496551801,20.0634122656619,5e-05,5e-05,6013,21
500,"smooth",FALSE,6137,"GCV","ML",TRUE,"pkg","pkg_refined",1.21099999999933,0.0353440262919289,0.7224463130915,0.726,0.692218869982592,0.726,0.696687256701607,0.948,1.20043019224829,6.39319549323344,20.2178339349093,1449.28860732554,5e-05,6014,21
1000,"smooth",FALSE,6138,"GCV","ML",TRUE,"pkg","pkg_refined",1.04899999999907,0.0275786682231028,0.872567435810869,0.71,0.664726632991519,0.711,0.666649958732848,0.949,1.25793204597762,5.76179925771411,20.2266987493654,5000,5e-05,6015,21
200,"piecewise",FALSE,6139,"GCV","ML",TRUE,"pkg","pkg_refined",1.38199999999961,0.111514675611698,0.999387713182648,0.76,0.845984192439474,0.76,0.86319965278322,0.95,1.60094476923673,7.89796048045934,20.1220472835616,121.765603671671,5e-05,6016,21
500,"piecewise",FALSE,6140,"GCV","ML",TRUE,"pkg","pkg_refined",1.49799999999959,0.0371267384650571,1.28419904636762,0.69,0.78766631870697,0.694,0.792753756259967,0.948,1.5404360283573,6.39683405086113,20.1643454484474,1063.41087364811,5e-05,6017,21
1000,"piecewise",FALSE,6141,"GCV","ML",TRUE,"pkg","pkg_refined",1.92399999999907,0.0261259748087446,1.17625110093826,0.706,0.840343746288362,0.708,0.84269567222194,0.949,1.61686391690925,5.57412212331448,20.1993503722005,3668.7339853257,5e-05,6018,21
200,"sine",FALSE,6142,"GCV","ML",TRUE,"pkg","pkg_refined",0.554000000000087,0.111908857941831,0.458654710006988,0.755,0.630374339974636,0.785,0.667879053688062,0.95,1.09318081742437,21.8313046666299,20.071837787149,5.83709679411729e-05,5e-05,6019,21
500,"sine",FALSE,6143,"GCV","ML",TRUE,"pkg","pkg_refined",0.378000000000611,0.0316559713447963,0.776511397524689,0.734,0.681780978548029,0.734,0.685810164557229,0.952,1.24705508101507,5.85781753909639,20.1731563700628,2305.87388385414,5e-05,6020,21
1000,"sine",FALSE,6144,"GCV","ML",TRUE,"pkg","pkg_refined",1.94499999999971,0.0167082959285105,1.05591216918696,0.704,0.657085400748119,0.705,0.659503992101259,0.95,1.32664710657373,7.32112883553356,20.2619142828706,1691.92757671412,5e-05,6021,21
200,"smooth",TRUE,6145,"GCV","ML",TRUE,"pkg","pkg_refined",1.16600000000108,0.0603451830939073,0.743599384036466,0.75,0.638370567972301,0.75,0.645063450014435,0.95,1.10704769382538,4.12868688797916,14.2440150194788,5000,5e-05,6022,21
500,"smooth",TRUE,6146,"GCV","ML",TRUE,"pkg","pkg_refined",0.252000000000407,0.0170707084973111,0.818073479864793,0.722,0.726680548773467,0.722,0.729735356064737,0.95,1.3291815100983,4.17742405003712,15.8299488509335,5000,5e-05,6023,21
1000,"smooth",TRUE,6147,"GCV","ML",TRUE,"pkg","pkg_refined",1.51100000000042,0.0170360787440411,0.919682622212985,0.698,0.616851154688556,0.7,0.618210124447986,0.95,1.2258940669127,4.3916343292269,16.7963205543711,5000,5e-05,6024,21
200,"piecewise",TRUE,6148,"GCV","ML",TRUE,"pkg","pkg_refined",0.900000000001455,0.0582927867378021,1.19883592866685,0.705,0.81844348925161,0.705,0.828549386335266,0.95,1.60062682391612,4.84908589305732,13.9455608891596,121.765603671671,5e-05,6025,21
500,"piecewise",TRUE,6149,"GCV","ML",TRUE,"pkg","pkg_refined",1.70000000000073,0.0260923560105104,1.10186284295738,0.688,0.763665538331597,0.69,0.76690616661414,0.95,1.49349779331939,4.21665962903373,15.822220953274,5000,5e-05,6026,21
1000,"piecewise",TRUE,6150,"GCV","ML",TRUE,"pkg","pkg_refined",2.15200000000004,0.032988653548186,1.15690213587185,0.717,0.795244029704741,0.717,0.797104114407157,0.951,1.5049238283653,4.66166154273457,16.8570908527823,1449.28860732554,5e-05,6027,21
200,"sine",TRUE,6151,"GCV","ML",TRUE,"pkg","pkg_refined",1.50900000000001,0.0413307072002035,0.788320422706872,0.67,0.617780324803982,0.685,0.625552213791385,0.95,1.09089057354627,4.93874770541453,14.7432845737505,359.842836500577,5e-05,6028,21
500,"sine",TRUE,6152,"GCV","ML",TRUE,"pkg","pkg_refined",0.436999999999898,0.0260771782663128,0.817939612313041,0.716,0.698636299154015,0.716,0.702624333272951,0.95,1.32210286991804,5.65980534294267,16.0092161620128,89.3451216867916,5e-05,6029,21
1000,"sine",TRUE,6153,"GCV","ML",TRUE,"pkg","pkg_refined",1.70899999999892,0.038319665727485,0.94850117609878,0.704,0.643460525631033,0.706,0.645349662056477,0.95,1.25841330645563,5.84604538630113,16.6866551220542,104.303224673598,5e-05,6030,21
200,"smooth",FALSE,6154,"ML","ML",TRUE,"pkg","pkg_refined",1.27099999999882,0.0975749914694301,1.17811819583793,0.72,0.634757737172672,0.74,0.671404257780067,0.95,1.28156783644356,21.2369245480781,20.0821453707758,5e-05,5e-05,6031,21
500,"smooth",FALSE,6155,"ML","ML",TRUE,"pkg","pkg_refined",1.52800000000025,0.0783193155166627,0.94999912399002,0.706,0.628026603039878,0.72,0.642130707336257,0.95,1.22822924265394,21.723318495812,20.1789447757191,5e-05,5e-05,6032,21
1000,"smooth",FALSE,6156,"ML","ML",TRUE,"pkg","pkg_refined",1.94700000000012,0.0555501989090804,0.863453066186939,0.721,0.672732853156293,0.73,0.679971013883896,0.95,1.25179404321488,21.1763045948423,20.1624250083089,5e-05,5e-05,6033,21
200,"piecewise",FALSE,6157,"ML","ML",TRUE,"pkg","pkg_refined",0.837999999999738,0.344888123178588,2.09952502249988,0.77,1.39111083480397,0.79,1.47456149113549,0.95,3.07277013510496,21.9968516556427,20.0580284444916,5e-05,5e-05,6034,21
500,"piecewise",FALSE,6158,"ML","ML",TRUE,"pkg","pkg_refined",1.38999999999942,0.0895775561771985,1.07657817599519,0.734,0.812351700991129,0.744,0.83050662862189,0.95,1.46017647519924,21.6211333023668,20.1849222770942,5e-05,5e-05,6035,21
1000,"piecewise",FALSE,6159,"ML","ML",TRUE,"pkg","pkg_refined",1.97199999999975,0.0805141717602975,1.18493680853995,0.696,0.784495087679275,0.703,0.793187742381779,0.95,1.58388565170689,21.7981762241137,20.1966977735014,5e-05,5e-05,6036,21
200,"sine",FALSE,6160,"ML","ML",TRUE,"pkg","pkg_refined",1.34400000000096,0.0850901982667849,0.739909376589603,0.735,0.613615310383647,0.745,0.649633089261044,0.95,1.25829975040697,21.562515499105,20.082750960747,5e-05,5e-05,6037,21
500,"sine",FALSE,6161,"ML","ML",TRUE,"pkg","pkg_refined",1.52099999999882,0.0677960632580563,0.972315912601066,0.712,0.667790447940293,0.724,0.682450880074345,0.95,1.2848626340117,21.2512948529602,20.1096164559095,5e-05,5e-05,6038,21
1000,"sine",FALSE,6162,"ML","ML",TRUE,"pkg","pkg_refined",0.460999999999331,0.0454996767083966,0.895781046821373,0.716,0.668747627437047,0.722,0.676140492108181,0.946,1.24437849662337,21.7482863609377,20.2062217950449,5e-05,5e-05,6039,21
200,"smooth",TRUE,6163,"ML","ML",TRUE,"pkg","pkg_refined",1.30599999999868,0.0867885460049385,1.13846904088896,0.735,0.630508199399466,0.76,0.662971785539937,0.95,1.17322411786989,19.1071596289438,14.2143024469394,5e-05,5e-05,6040,21
500,"smooth",TRUE,6164,"ML","ML",TRUE,"pkg","pkg_refined",1.33599999999933,0.0550102080748049,0.77972112955504,0.696,0.67039455315015,0.704,0.683914812506104,0.952,1.18379797676514,19.573518969215,15.6018831263991,5e-05,5e-05,6041,21
1000,"smooth",TRUE,6165,"ML","ML",TRUE,"pkg","pkg_refined",2.15999999999985,0.056863043380601,0.761695420312887,0.735,0.697431909965456,0.743,0.70442446632771,0.948,1.23154115747065,19.7547098671232,16.7109208174217,5e-05,5e-05,6042,21
200,"piecewise",TRUE,6166,"ML","ML",TRUE,"pkg","pkg_refined",1.16100000000006,0.0866152428047453,0.805075193226828,0.72,0.88895932502283,0.74,0.933354114588928,0.95,1.40095488563724,18.5734339708346,14.2168193287664,5e-05,5e-05,6043,21
500,"piecewise",TRUE,6167,"ML","ML",TRUE,"pkg","pkg_refined",0.600999999998749,0.086427561667605,0.966158033415292,0.724,0.839705513073603,0.74,0.856465339587118,0.954,1.53591704606501,19.3771346526272,15.8105880124851,5e-05,5e-05,6044,21
1000,"piecewise",TRUE,6168,"ML","ML",TRUE,"pkg","pkg_refined",1.5,0.055361640431652,1.12359248428888,0.726,0.800923954071212,0.729,0.808924525434006,0.948,1.59170963024279,19.682942399197,16.937951322461,5e-05,5e-05,6045,21
200,"sine",TRUE,6169,"ML","ML",TRUE,"pkg","pkg_refined",1.42599999999948,0.0958989473370009,0.828010513485999,0.735,0.617841088873311,0.755,0.649719860106636,0.95,1.13010173850878,19.1446820568168,14.1829298846855,5e-05,5e-05,6046,21
500,"sine",TRUE,6170,"ML","ML",TRUE,"pkg","pkg_refined",1.38100000000122,0.0612882159752587,0.88997257854807,0.722,0.654434871746177,0.736,0.667624802489327,0.952,1.21774590059099,19.561343310721,15.7808883655248,5e-05,5e-05,6047,21
1000,"sine",TRUE,6171,"ML","ML",TRUE,"pkg","pkg_refined",2.20000000000073,0.0351100608177926,0.791583903189387,0.71,0.67041469267121,0.711,0.677145353002049,0.949,1.20504919442167,19.780716430561,16.663264910837,5e-05,5e-05,6048,21
200,"smooth",FALSE,6172,"BIC","GCV",FALSE,"pkg","pkg_base",0.457000000000335,0.0242836958569077,0.642993611451836,0.755,0.72848605383048,0.765,0.738937451626363,0.95,1.14805713546702,5.61751919836496,4.65794985198921,1000,85.5467253556567,6049,22
500,"smooth",FALSE,6173,"BIC","GCV",FALSE,"pkg","pkg_base",0.54700000000048,0.0239199271193144,0.835575274335752,0.704,0.690646849021065,0.704,0.695303983083867,0.95,1.24141585520242,6.67555223225405,3.4980033764099,1000,1000,6050,22
1000,"smooth",FALSE,6174,"BIC","GCV",FALSE,"pkg","pkg_base",0.0759999999991123,0.0264856226021504,0.875260037517667,0.707,0.657866014651956,0.709,0.660409996023855,0.95,1.24494897709452,7.6894106727722,3.94214135090286,1000,1000,6051,22
200,"piecewise",FALSE,6175,"BIC","GCV",FALSE,"pkg","pkg_base",0.0869999999995343,0.0600147144532216,0.872997562787422,0.75,0.833250309981923,0.76,0.844366049277016,0.95,1.47137238281618,5.23117872768459,3.61625290585835,1000,335.292414924955,6052,22
500,"piecewise",FALSE,6176,"BIC","GCV",FALSE,"pkg","pkg_base",0.546999999998661,0.0440094602132284,1.03116997301491,0.68,0.83490108631213,0.684,0.840313380260973,0.946,1.47428736127268,6.42006322056001,5.47503799618003,1000,85.5467253556567,6053,22
1000,"piecewise",FALSE,6177,"BIC","GCV",FALSE,"pkg","pkg_base",0.0769999999993161,0.0404630551819243,1.19441630964395,0.692,0.81758191692014,0.694,0.820520513952544,0.949,1.5730690047071,7.14993781187215,4.56154324553529,1000,440.623642777356,6054,22
200,"sine",FALSE,6178,"BIC","GCV",FALSE,"pkg","pkg_base",0.213999999999942,0.0611564139032773,0.610127827920225,0.785,0.652760850874566,0.79,0.662341102673938,0.95,1.15265998350635,5.74384887203567,15.5354159623293,1000,0.0703813555493155,6055,22
500,"sine",FALSE,6179,"BIC","GCV",FALSE,"pkg","pkg_base",0.157999999999447,0.0311110648560711,0.906337975666064,0.716,0.650585316798254,0.72,0.65509530360406,0.95,1.25175909054854,6.86077734333165,4.46860428570119,1000,255.140652003128,6056,22
