"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
500,"smooth",TRUE,19124,"ML","ML",TRUE,"pkg","pkg_refined",1.57700000000114,0.0539828311422289,0.888896559944229,0.72,0.690481932334918,0.732,0.704396772759364,0.948,1.30667150486165,19.5591503822067,15.8147108325646,5e-05,5e-05,19001,66
1000,"smooth",TRUE,19125,"ML","ML",TRUE,"pkg","pkg_refined",2.16999999999825,0.0486669351422903,0.953752694753959,0.69,0.643241111054192,0.696,0.649708173411883,0.949,1.23762846683844,19.8085141528491,16.7091618954593,5e-05,5e-05,19002,66
200,"piecewise",TRUE,19126,"ML","ML",TRUE,"pkg","pkg_refined",1.48400000000038,0.187488066320995,1.06583283407519,0.695,0.78490763558202,0.71,0.824427260554302,0.945,1.48536318379129,18.7147734618946,14.0108136369017,5e-05,5e-05,19003,66
500,"piecewise",TRUE,19127,"ML","ML",TRUE,"pkg","pkg_refined",1.78399999999965,0.0742253496484342,1.13842805756052,0.726,0.834477344008732,0.732,0.851049938505054,0.952,1.63198417277657,19.2835162476372,15.5243823377677,5e-05,5e-05,19004,66
1000,"piecewise",TRUE,19128,"ML","ML",TRUE,"pkg","pkg_refined",2.29500000000189,0.0668692227885243,0.988714646617843,0.733,0.834212825193309,0.74,0.842540031339552,0.949,1.44667287406941,19.6692275200358,16.6943458414677,5e-05,5e-05,19005,66
200,"sine",TRUE,19129,"ML","ML",TRUE,"pkg","pkg_refined",1.42299999999886,0.101376388108415,0.657345944918875,0.705,0.635777833473038,0.705,0.66881090244178,0.95,1.06231232934735,19.2684099941501,14.7319457385946,5e-05,5e-05,19006,66
500,"sine",TRUE,19130,"ML","ML",TRUE,"pkg","pkg_refined",1.4419999999991,0.0605901759229932,0.791534297325626,0.698,0.675710592391111,0.714,0.689367550627477,0.948,1.21456840657643,19.6146176695295,15.7152378065595,5e-05,5e-05,19007,66
1000,"sine",TRUE,19131,"ML","ML",TRUE,"pkg","pkg_refined",0.476999999998952,0.0362810827185082,0.851509500663977,0.736,0.680878491259072,0.742,0.687704289873105,0.953,1.33159147974084,19.7524557488447,16.7710509015099,5e-05,5e-05,19008,66
200,"smooth",FALSE,19132,"BIC","GCV",FALSE,"pkg","pkg_base",0.0629999999982829,0.0960980310039954,1.09970023778662,0.68,0.613777655665695,0.68,0.622973923719172,0.95,1.25863266098535,5.86117148582012,2.99899967995912,1000,1000,19009,67
500,"smooth",FALSE,19133,"BIC","GCV",FALSE,"pkg","pkg_base",0.568999999999505,0.0436200534959739,0.989378070444192,0.686,0.666038985711204,0.688,0.670594485419818,0.952,1.23933836581705,6.77015276596432,3.50606379905908,1000,1000,19010,67
