"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
1000,"sine",FALSE,21624,"GCV","GCV",TRUE,"pkg","pkg_refined",0.936999999998079,0.0191930394646781,0.879983278751945,0.709,0.698432780766489,0.712,0.700661004410438,0.949,1.25541082112458,6.35023473904662,4.92251812785718,2691.92181101675,308.237852816859,21501,75
200,"smooth",TRUE,21625,"GCV","GCV",TRUE,"pkg","pkg_refined",1.42699999999968,0.0517888404367313,1.06382049392714,0.675,0.612085939138538,0.68,0.618500343334023,0.955,1.23579376319743,4.12684923689234,4.43709242712965,5000,25.8973733961561,21502,75
500,"smooth",TRUE,21626,"GCV","GCV",TRUE,"pkg","pkg_refined",0.286000000000058,0.0383487320633285,0.855043615872829,0.71,0.715034148552001,0.712,0.718878737550709,0.95,1.30787891728815,5.33373574443561,4.00899590931699,142.151522965133,5000,21503,75
1000,"smooth",TRUE,21627,"GCV","GCV",TRUE,"pkg","pkg_refined",0.398999999997613,0.0209082531417505,0.952709715175909,0.698,0.631967900332713,0.7,0.633366987819853,0.951,1.23593722280258,4.41305770862111,4.01791985606959,5000,5000,21504,75
200,"piecewise",TRUE,21628,"GCV","GCV",TRUE,"pkg","pkg_refined",0.504000000000815,0.0559739512744251,1.11577098942846,0.7,0.800521898275533,0.705,0.808821904145355,0.95,1.61624357942971,4.08367832685631,4.00433025298927,5000,5000,21505,75
500,"piecewise",TRUE,21629,"GCV","GCV",TRUE,"pkg","pkg_refined",0.289000000000669,0.0449461350477659,1.22132680465954,0.698,0.816842024019689,0.702,0.820606827080702,0.948,1.59749484444357,4.57730501748827,4.96888961207113,910.907349283491,11.943215394923,21506,75
1000,"piecewise",TRUE,21630,"GCV","GCV",TRUE,"pkg","pkg_refined",0.368000000002212,0.0317570328068903,0.993836161053455,0.717,0.792502221184422,0.718,0.794516253081225,0.948,1.47465603182418,5.06340703667837,4.7100386338537,420.087493464718,48.1020163553239,21507,75
200,"sine",TRUE,21631,"GCV","GCV",TRUE,"pkg","pkg_refined",1.47099999999773,0.101276265777388,1.03996049429039,0.68,0.610341047210804,0.685,0.627453598535079,0.95,1.21295625838096,10.7604434807195,4.49080998819217,0.0244368731581222,16.2770255934252,21508,75
500,"sine",TRUE,21632,"GCV","GCV",TRUE,"pkg","pkg_refined",1.33399999999892,0.0270931137387633,0.843182536630672,0.692,0.658068763661173,0.696,0.661999599982702,0.952,1.24533266034614,5.92019493494458,5.61330713749001,56.1552250916477,2.96537244750528,21509,75
1000,"sine",TRUE,21633,"GCV","GCV",TRUE,"pkg","pkg_refined",0.284999999999854,0.0244250147710585,0.971554806430209,0.704,0.6535530221457,0.706,0.654992968868795,0.95,1.3195152788891,4.39199905442427,4.01492276339058,5000,5000,21510,75
200,"smooth",FALSE,21634,"ML","GCV",TRUE,"pkg","pkg_refined",1.37199999999939,0.150749790446822,0.839987971328278,0.74,0.712195415021579,0.755,0.754056484015452,0.955,1.34776220943957,21.5894292142655,20.066940280529,5e-05,5e-05,21511,75
500,"smooth",FALSE,21635,"ML","GCV",TRUE,"pkg","pkg_refined",0.231999999999971,0.0792440506536845,0.725769943938035,0.726,0.678527515521069,0.732,0.693519037095761,0.95,1.21963173675939,21.3829594206289,2.68036546058287,5e-05,5000,21512,75
