"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
1000,"smooth",FALSE,11124,"ML","GCV",FALSE,"pkg","pkg_base",0.144000000000233,0.0506060499568439,0.949319248349472,0.686,0.613086041660605,0.689,0.619758415775382,0.951,1.16020712947165,21.4162698553109,3.94975306111247,1e-04,1000,11001,39
200,"piecewise",FALSE,11125,"ML","GCV",FALSE,"pkg","pkg_base",0.407000000001062,0.155929538887704,1.00207422535199,0.72,0.817706546597066,0.73,0.863623569630364,0.95,1.41804806182023,20.7017833596694,9.4229572044902,1e-04,1.86718109129192,11002,39
500,"piecewise",FALSE,11126,"ML","GCV",FALSE,"pkg","pkg_base",0.0679999999993015,0.0886740064811424,1.12880017469482,0.704,0.82955971603707,0.712,0.847352699620236,0.948,1.56986300693091,20.777856791197,3.49513686291679,1e-04,1000,11003,39
1000,"piecewise",FALSE,11127,"ML","GCV",FALSE,"pkg","pkg_base",0.0909999999985303,0.0902595833507747,1.17708471804822,0.706,0.841164066548254,0.707,0.85017059743566,0.948,1.61844225462449,21.0753575338647,5.36061141009181,1e-04,194.149194574388,11004,39
200,"sine",FALSE,11128,"ML","GCV",FALSE,"pkg","pkg_base",0.432000000000698,4.542232758504,2.40963709126914,0.745,7.05161425631123,0.765,7.47326869439108,0.95,14.9065769722022,21.9319949996305,20.035080329066,1e-04,1e-04,11005,39
500,"sine",FALSE,11129,"ML","GCV",FALSE,"pkg","pkg_base",0.558000000000902,0.0732042629872263,0.995704174625921,0.682,0.628536949493313,0.688,0.642450728244216,0.948,1.14966568609853,21.4228282679406,4.49691224873083,1e-04,255.140652003128,11006,39
1000,"sine",FALSE,11130,"ML","GCV",FALSE,"pkg","pkg_base",0.180999999998676,0.0472662665473305,0.842188970193224,0.716,0.646623279108378,0.719,0.653638492532225,0.95,1.20321040542951,21.3499303844713,5.3522251779063,1e-04,194.149194574388,11007,39
200,"smooth",TRUE,11131,"ML","GCV",FALSE,"pkg","pkg_base",0.0509999999994761,0.100910538582555,0.727401223252728,0.71,0.596028822528474,0.73,0.626379416210466,0.95,1.07134294682333,18.9120462878331,4.01959236170345,1e-04,1000,11008,39
500,"smooth",TRUE,11132,"ML","GCV",FALSE,"pkg","pkg_base",0.468000000000757,0.0593253909457311,1.08799600195382,0.694,0.605577628823225,0.704,0.617609915942827,0.95,1.24181741606788,19.2922438843942,5.83812358908739,1e-04,1.42083083253392,11009,39
1000,"smooth",TRUE,11133,"ML","GCV",FALSE,"pkg","pkg_base",0.556000000000495,0.0436273975621838,0.860381737882953,0.71,0.647044099612355,0.714,0.653472410318576,0.949,1.18351737207576,19.5775453747319,10.1252987915172,1e-04,0.00602089449333613,11010,39
200,"piecewise",TRUE,11134,"ML","GCV",FALSE,"pkg","pkg_base",0.0760000000009313,0.108634736609283,0.792605059464943,0.75,0.911502620110762,0.795,0.954302839722673,0.95,1.34994691839189,17.5375913068246,4.76804656897636,1e-04,7.31824221907616,11011,39
