"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
1000,"sine",FALSE,12624,"GCV","ML",FALSE,"pkg","pkg_base",0.681000000000495,0.0368670464678072,0.783326166374254,0.705,0.705239754625428,0.705,0.707964131208337,0.951,1.22301071371751,7.68156143844932,20.123440444474,1000,1e-04,12501,44
200,"smooth",TRUE,12625,"GCV","ML",FALSE,"pkg","pkg_base",0.489000000001397,0.0994238676205476,1.20695017725749,0.68,0.629218303817681,0.7,0.639234050636498,0.95,1.27038379061924,6.21824401405436,13.5707346505033,12.638482029343,1e-04,12502,44
500,"smooth",TRUE,12626,"GCV","ML",FALSE,"pkg","pkg_base",0.605000000001382,0.0545971983332294,0.882744039838578,0.71,0.649097551937824,0.714,0.655430612095185,0.946,1.18727337031665,9.61576143046414,14.8550708758872,0.275853161762918,1e-04,12503,44
1000,"smooth",TRUE,12627,"GCV","ML",FALSE,"pkg","pkg_base",0.184000000001106,0.0309771165591767,0.920689279479942,0.712,0.658132539698061,0.713,0.65976544833887,0.951,1.28710730865001,4.94384258458684,15.9511983791528,1000,1e-04,12504,44
200,"piecewise",TRUE,12628,"GCV","ML",FALSE,"pkg","pkg_base",0.498999999999796,0.0919351766455469,0.939369409110722,0.73,0.89811034278017,0.74,0.917535836434392,0.955,1.5006400664175,8.37890488702387,13.4213640133062,0.209910372010855,1e-04,12505,44
500,"piecewise",TRUE,12629,"GCV","ML",FALSE,"pkg","pkg_base",0.504000000000815,0.0487551547428271,1.43369333432624,0.688,0.762957045557104,0.688,0.766484882665854,0.948,1.70941008941275,4.59202694216811,14.7826405371488,1000,1e-04,12506,44
1000,"piecewise",TRUE,12630,"GCV","ML",FALSE,"pkg","pkg_base",0.77599999999984,0.0275967794856055,1.16519325912325,0.68,0.778853141592061,0.683,0.780724705707103,0.951,1.57249463397385,4.78868216155086,15.7882069262996,1000,1e-04,12507,44
200,"sine",TRUE,12631,"GCV","ML",FALSE,"pkg","pkg_base",0.152000000000044,0.04128134339232,1.0146033153727,0.725,0.672851800642179,0.735,0.680255868018492,0.945,1.33718648988382,4.33000322619726,13.0833292516199,1000,1e-04,12508,44
500,"sine",TRUE,12632,"GCV","ML",FALSE,"pkg","pkg_base",0.708999999998923,0.0425731161438976,0.929245374143572,0.726,0.646715211867405,0.73,0.650869255340144,0.95,1.30570982649179,6.36193507653631,14.776599124053,21.8264472839748,1e-04,12509,44
1000,"sine",TRUE,12633,"GCV","ML",FALSE,"pkg","pkg_base",0.766999999999825,0.0216979016356555,0.861517056637337,0.699,0.642580261519461,0.7,0.644170891877877,0.951,1.23635695887289,4.93243906072496,15.7909759777392,1000,1e-04,12510,44
