"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
1000,"piecewise",TRUE,5124,"AIC","ML",FALSE,"pkg","pkg_base",0.792000000000371,0.0311307131163078,1.06317997582033,0.705,0.82540912488587,0.707,0.82740306230276,0.95,1.50976732336719,4.81394220546146,16.0335703508728,1000,1e-04,5001,18
200,"sine",TRUE,5125,"AIC","ML",FALSE,"pkg","pkg_base",0.332999999999629,0.0600539484778701,0.671717953335432,0.76,0.711330328286173,0.77,0.7229401118579,0.95,1.25608330121419,6.3720707836545,12.7805200139332,5.56881399094526,1e-04,5002,18
500,"sine",TRUE,5126,"AIC","ML",FALSE,"pkg","pkg_base",0.601999999999862,0.0615178893119145,0.902709377170151,0.71,0.661025575489794,0.716,0.669437423365204,0.95,1.27184667689175,12.4866022054248,14.7397726115827,0.0179571449437164,1e-04,5003,18
1000,"sine",TRUE,5127,"AIC","ML",FALSE,"pkg","pkg_base",0.150000000000546,0.0297478743467083,0.876574384914062,0.696,0.644816048202331,0.697,0.646643594646547,0.95,1.24065872565512,5.64442073962366,15.6663061464303,147.737765259851,1e-04,5004,18
200,"smooth",FALSE,5128,"GCV","ML",FALSE,"pkg","pkg_base",0.445999999999913,0.0419605397335632,0.71690398716346,0.745,0.702653670934648,0.755,0.713409993746242,0.95,1.28523361329186,5.98547053580425,20.0469364765218,1000,1e-04,5005,18
500,"smooth",FALSE,5129,"GCV","ML",FALSE,"pkg","pkg_base",0.538000000000466,0.047764944016414,1.12034088928126,0.718,0.644306716154996,0.72,0.648806847922268,0.948,1.38240491630724,6.91195838571252,20.0854928093321,1000,1e-04,5006,18
1000,"smooth",FALSE,5130,"GCV","ML",FALSE,"pkg","pkg_base",0.698999999999614,0.02018014590448,0.948302612866664,0.706,0.645466800508806,0.707,0.648012648930972,0.951,1.24191080604226,7.84196978500359,20.1265974442835,1000,1e-04,5007,18
200,"piecewise",FALSE,5131,"GCV","ML",FALSE,"pkg","pkg_base",0.434999999999491,0.106202810198063,2.80482901971146,0.705,0.915590653158925,0.74,0.967886852000272,0.95,2.34113053086206,21.0286501874215,20.0088989902232,0.00348636522767808,1e-04,5008,18
500,"piecewise",FALSE,5132,"GCV","ML",FALSE,"pkg","pkg_base",0.531000000000859,0.051513883691717,1.16270985725837,0.694,0.816435452727155,0.698,0.821947797123963,0.952,1.57086314955098,6.68395381285394,20.0794227493035,1000,1e-04,5009,18
1000,"piecewise",FALSE,5133,"GCV","ML",FALSE,"pkg","pkg_base",0.708999999999833,0.0274582144906168,1.07584764654182,0.721,0.850692373386764,0.724,0.853722423299846,0.949,1.60985455470027,7.08584687098198,20.0882412998494,1000,1e-04,5010,18
200,"sine",FALSE,5134,"GCV","ML",FALSE,"pkg","pkg_base",0.450000000000728,0.106202962816128,0.866213201478903,0.745,0.648419202680923,0.765,0.68547389472964,0.95,1.18603259224549,21.0383855561762,20.0375184610317,0.000131414736261176,1e-04,5011,18
500,"sine",FALSE,5135,"GCV","ML",FALSE,"pkg","pkg_base",0.541999999999462,0.0311097109514538,0.985635000704975,0.714,0.639475513205945,0.716,0.644146580062906,0.952,1.27085639966245,7.22526733350815,20.0664507632228,1000,1e-04,5012,18
1000,"sine",FALSE,5136,"GCV","ML",FALSE,"pkg","pkg_base",0.423999999999978,0.0195335840895877,0.859965673355362,0.715,0.63359943193859,0.716,0.636122573720159,0.951,1.23912800296851,7.91714760296814,20.0874714127686,1000,1e-04,5013,18
200,"smooth",TRUE,5137,"GCV","ML",FALSE,"pkg","pkg_base",0.121000000000095,0.0256692446105289,0.788477461920676,0.715,0.698799164825646,0.725,0.706605878333474,0.95,1.27818328249754,4.39486310493749,13.4960097301358,1000,1e-04,5014,18
500,"smooth",TRUE,5138,"GCV","ML",FALSE,"pkg","pkg_base",0.264000000000124,0.0615660491155419,0.826588819407388,0.71,0.635577051654703,0.716,0.638545667697154,0.948,1.18265603282584,4.63822126243259,14.3330446456398,1000,1e-04,5015,18
1000,"smooth",TRUE,5139,"GCV","ML",FALSE,"pkg","pkg_base",0.76299999999992,0.0481002635091353,0.919462116073699,0.689,0.641637349726147,0.694,0.646281638582584,0.951,1.23454274884018,14.3206972991339,15.8814114125116,0.0103979841848149,1e-04,5016,18
200,"piecewise",TRUE,5140,"GCV","ML",FALSE,"pkg","pkg_base",0.483000000000175,0.139083142430458,1.5363805378413,0.655,0.897254439387392,0.66,0.90691568186711,0.945,1.75475709981458,4.23844686997932,12.641636050777,1000,1e-04,5017,18
