"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
200,"sine",FALSE,1624,"ML","GCV",FALSE,"pkg","pkg_base",0.0760000000000218,0.102289258046505,0.905710522454295,0.68,0.572549726053496,0.72,0.605994510070708,0.95,1.15597064943712,21.4667807309371,4.69189679367067,1e-04,85.5467253556567,1501,6
500,"sine",FALSE,1625,"ML","GCV",FALSE,"pkg","pkg_base",0.0650000000005093,0.0684716384394735,0.750894238794667,0.73,0.670139305495242,0.742,0.684830585546504,0.948,1.16214031459301,21.222327413454,6.04670197505674,1e-04,49.5353520895916,1502,6
1000,"sine",FALSE,1626,"ML","GCV",FALSE,"pkg","pkg_base",0.0590000000001965,0.0435294441646659,0.792323362959928,0.717,0.666669115949711,0.723,0.673868129003247,0.95,1.19831663879568,21.2521089145784,5.08857982200363,1e-04,255.140652003128,1503,6
200,"smooth",TRUE,1627,"ML","GCV",FALSE,"pkg","pkg_base",2.44600000000082,0.749216428075807,5.247961662609,0.745,2.22336780260574,0.75,2.23870885324024,0.95,4.27787222779838,2.73166256748745,13.443519332403,0.822724134170046,1e-04,1504,6
500,"smooth",TRUE,1628,"ML","GCV",FALSE,"pkg","pkg_base",0.6850000000004,0.0724875485480628,0.989678684747363,0.686,0.62092536621377,0.692,0.633281019625179,0.952,1.17504230694884,19.3202084741186,4.04070746799381,1e-04,1000,1505,6
1000,"smooth",TRUE,1629,"ML","GCV",FALSE,"pkg","pkg_base",0.332999999999629,0.0356958370471437,0.884969127839893,0.713,0.655229012169615,0.716,0.661757682509666,0.95,1.21922360492321,19.6339719238881,5.13032365021066,1e-04,16.6088278262771,1506,6
200,"piecewise",TRUE,1630,"ML","GCV",FALSE,"pkg","pkg_base",0.0749999999998181,0.0952710801717683,0.994485739238627,0.685,0.780847410526131,0.71,0.818979462283307,0.945,1.45296923224483,18.1906056442075,4.79581999134071,1e-04,9.61724871115295,1507,6
500,"piecewise",TRUE,1631,"ML","GCV",FALSE,"pkg","pkg_base",0.239000000000487,0.0804260546529388,1.2756943317962,0.692,0.753269840465756,0.702,0.768103788673674,0.948,1.61619288555627,19.1259429038745,4.61256016893381,1e-04,37.6939097538835,1508,6
1000,"piecewise",TRUE,1632,"ML","GCV",FALSE,"pkg","pkg_base",0.757999999999811,0.0476944699755359,1.06429085994667,0.707,0.828672680421995,0.714,0.836829649254548,0.949,1.54196055724093,19.3999205660592,12.226926433513,1e-04,0.00116895181649858,1509,6
200,"sine",TRUE,1633,"ML","GCV",FALSE,"pkg","pkg_base",0.502000000000407,0.0958400298834921,0.853367104952366,0.725,0.577087830791395,0.77,0.606138763636606,0.95,1.16513302545858,18.711728444677,4.01844172767531,1e-04,1000,1510,6
500,"sine",TRUE,1634,"ML","GCV",FALSE,"pkg","pkg_base",0.597000000000662,0.0661449372149034,0.797249931046131,0.69,0.679253947150057,0.702,0.692570003199691,0.95,1.19944209654978,19.0421800761354,4.80915992439124,1e-04,16.6088278262771,1511,6
1000,"sine",TRUE,1635,"ML","GCV",FALSE,"pkg","pkg_base",0.0760000000000218,0.0552333150493848,0.758730822260666,0.706,0.667562452312411,0.709,0.674202127230627,0.953,1.1999223826375,19.5994066982847,5.5600543399427,1e-04,5.56881399094526,1512,6
200,"smooth",FALSE,1636,"BIC","ML",FALSE,"pkg","pkg_base",0.425000000000182,0.0374703490125792,1.27437492355115,0.76,0.657746694731444,0.775,0.667756356900605,0.95,1.59857424542326,5.95105766350669,20.0498541241383,1000,1e-04,1513,6
500,"smooth",FALSE,1637,"BIC","ML",FALSE,"pkg","pkg_base",0.534999999999854,0.023356066823406,0.834692814822477,0.726,0.725222735511552,0.73,0.730134025226687,0.948,1.23471465729498,6.70393686055115,20.0899845033362,1000,1e-04,1514,6
1000,"smooth",FALSE,1638,"BIC","ML",FALSE,"pkg","pkg_base",0.692999999999302,0.0253737054185812,0.893850529743002,0.713,0.683309170080239,0.715,0.685951031602709,0.949,1.29309773325311,7.68793785861994,20.1069361616438,1000,1e-04,1515,6
200,"piecewise",FALSE,1639,"BIC","ML",FALSE,"pkg","pkg_base",0.428000000000793,3.28205253172287,3.85468875371946,0.77,5.5849053063407,0.785,5.91893506989624,0.95,11.0991156088037,21.9366788291567,20.0128042666083,0.000226951053669467,1e-04,1516,6
500,"piecewise",FALSE,1640,"BIC","ML",FALSE,"pkg","pkg_base",0.541000000000167,0.0599086796251877,1.04032007433798,0.732,0.820432106324472,0.734,0.825780390312144,0.95,1.57855291343443,6.45566958909316,20.0522362558525,1000,1e-04,1517,6
1000,"piecewise",FALSE,1641,"BIC","ML",FALSE,"pkg","pkg_base",0.694999999999709,0.0263526713161085,1.04134763856796,0.702,0.819068368662004,0.703,0.822016380643853,0.951,1.49816935786911,7.15977493446492,20.1364851661026,1000,1e-04,1518,6
200,"sine",FALSE,1642,"BIC","ML",FALSE,"pkg","pkg_base",0.438000000000102,0.0813272222911349,0.869794211836233,0.745,0.738760648257424,0.75,0.750589493637327,0.95,1.51492689895826,6.2540920495407,20.0518456537935,1000,1e-04,1519,6
500,"sine",FALSE,1643,"BIC","ML",FALSE,"pkg","pkg_base",0.539999999999964,0.0314195871338917,1.09623265670372,0.688,0.650951580943011,0.692,0.655434903042718,0.95,1.27306353488222,6.81683149435797,20.0662716879988,1000,1e-04,1520,6
1000,"sine",FALSE,1644,"BIC","ML",FALSE,"pkg","pkg_base",0.722000000000662,0.0154487271090151,1.03729132105506,0.708,0.605021846848716,0.711,0.607470968552554,0.949,1.22153145028317,8.04708409263132,20.1173546415197,1000,1e-04,1521,6
200,"smooth",TRUE,1645,"BIC","ML",FALSE,"pkg","pkg_base",0.497000000000298,0.0294137282871865,0.651079653738067,0.775,0.679617330109682,0.78,0.68706368709206,0.945,1.2000837664595,4.31168594319712,12.8210814482964,1000,1e-04,1522,6
500,"smooth",TRUE,1646,"BIC","ML",FALSE,"pkg","pkg_base",0.61200000000008,0.02901945493184,0.99900320090651,0.722,0.663589003957938,0.722,0.666748476480866,0.952,1.31877814710628,4.72740099079175,14.7889496077335,1000,1e-04,1523,6
1000,"smooth",TRUE,1647,"BIC","ML",FALSE,"pkg","pkg_base",0.154000000000451,0.0170822760514693,0.846846496724969,0.729,0.686360232830622,0.731,0.688039760888144,0.949,1.25543105878512,4.87610921586725,15.7404345313317,1000,1e-04,1524,6
200,"piecewise",TRUE,1648,"BIC","ML",FALSE,"pkg","pkg_base",0.125,0.105093855244435,1.11993626794019,0.69,0.788953339749513,0.69,0.7976442857271,0.95,1.54295305052278,4.33456409923811,13.5523551225169,1000,1e-04,1525,6
500,"piecewise",TRUE,1649,"BIC","ML",FALSE,"pkg","pkg_base",0.694000000000415,0.0376463824605742,1.1033101010106,0.706,0.765777432451436,0.716,0.769350804278788,0.95,1.52186147968197,4.63387317045222,14.7687767770088,1000,1e-04,1526,6
1000,"piecewise",TRUE,1650,"BIC","ML",FALSE,"pkg","pkg_base",0.475999999999658,0.0349294703742207,1.14952606996011,0.682,0.846071809970348,0.684,0.84809900239088,0.951,1.60111057709579,4.7748436494105,15.6655648748912,1000,1e-04,1527,6
200,"sine",TRUE,1651,"BIC","ML",FALSE,"pkg","pkg_base",0.138999999999214,0.0604474614522441,0.77211301002846,0.745,0.720815018187746,0.755,0.728999965569908,0.95,1.27283158274925,4.46584404817774,13.7907952986302,1000,1e-04,1528,6
500,"sine",TRUE,1652,"BIC","ML",FALSE,"pkg","pkg_base",0.594000000000051,0.037517428804728,0.675622254131943,0.734,0.659329384527325,0.738,0.663121439541472,0.95,1.14339399595245,5.70214297505155,14.8016394626871,112.421003506208,1e-04,1529,6
