"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
1000,"smooth",FALSE,2124,"ML","ML",TRUE,"pkg","pkg_refined",1.28399999999965,0.0444200128896133,1.03608089448686,0.694,0.672610648833872,0.698,0.680025125852828,0.951,1.37927753305174,21.6875999669764,20.2368865614956,5e-05,5e-05,2001,7
200,"piecewise",FALSE,2125,"ML","ML",TRUE,"pkg","pkg_refined",1.32400000000052,0.106942804126206,2.89506585919185,0.77,0.94034862238969,0.79,0.994880607574454,0.95,1.83903622986338,21.3241538858233,20.0596453738951,5e-05,5e-05,2002,7
500,"piecewise",FALSE,2126,"ML","ML",TRUE,"pkg","pkg_refined",1.57899999999972,0.108511224162374,1.2071297021705,0.694,0.77673741233923,0.704,0.794175371494839,0.95,1.5928033012526,21.7162546004401,20.1431271616018,5e-05,5e-05,2003,7
1000,"piecewise",FALSE,2127,"ML","ML",TRUE,"pkg","pkg_refined",2.02300000000014,0.0489124599129924,1.38931178571709,0.679,0.796797216695167,0.684,0.805563650892718,0.949,1.68436879984928,21.6462965807223,20.2804260466485,5e-05,5e-05,2004,7
200,"sine",FALSE,2128,"ML","ML",TRUE,"pkg","pkg_refined",1.26499999999942,0.117535596159982,1.56859432618544,0.685,0.746460724276299,0.71,0.791213123986425,0.95,1.38898387934957,21.9848550663242,20.1079752099647,5e-05,5e-05,2005,7
500,"sine",FALSE,2129,"ML","ML",TRUE,"pkg","pkg_refined",1.52399999999943,0.0800718138710549,0.933495051943246,0.704,0.651057458986909,0.71,0.665318637892073,0.95,1.2732706001706,21.2053800840728,20.1438710316551,5e-05,5e-05,2006,7
1000,"sine",FALSE,2130,"ML","ML",TRUE,"pkg","pkg_refined",1.95600000000013,0.0405034888392366,0.860153469537516,0.721,0.623031841728346,0.726,0.629895872825443,0.95,1.17902861187833,21.6754315411545,20.215099235252,5e-05,5e-05,2007,7
200,"smooth",TRUE,2131,"ML","ML",TRUE,"pkg","pkg_refined",1.29799999999977,0.082937756455132,0.851026168875794,0.77,0.668851052175061,0.795,0.702637336220832,0.95,1.37156798040962,18.7715500695197,13.7209318395827,5e-05,5e-05,2008,7
500,"smooth",TRUE,2132,"ML","ML",TRUE,"pkg","pkg_refined",1.44600000000082,0.0594636673817831,0.730714708177459,0.72,0.610879251229262,0.73,0.623277393900241,0.952,1.07870450058838,19.6940116791184,15.9245169745537,5e-05,5e-05,2009,7
1000,"smooth",TRUE,2133,"ML","ML",TRUE,"pkg","pkg_refined",0.827000000000226,0.0474206957386804,0.81087264595407,0.715,0.640291465753367,0.721,0.646727175074631,0.948,1.15090364730352,19.8033680562559,16.8981788616855,5e-05,5e-05,2010,7
200,"piecewise",TRUE,2134,"ML","ML",TRUE,"pkg","pkg_refined",1.41100000000006,0.161842247561828,1.05734750216184,0.7,0.741917837982956,0.71,0.779918356873944,0.945,1.42748748573936,19.0146865033454,14.602570863897,5e-05,5e-05,2011,7
500,"piecewise",TRUE,2135,"ML","ML",TRUE,"pkg","pkg_refined",1.45700000000033,0.0519071093859437,1.19539424368625,0.69,0.820425853291348,0.698,0.836882089029854,0.948,1.63046656919926,19.4704142672902,15.9630489252036,5e-05,5e-05,2012,7
1000,"piecewise",TRUE,2136,"ML","ML",TRUE,"pkg","pkg_refined",2.1880000000001,0.0477487375600287,1.10139112156137,0.69,0.826130478049163,0.696,0.834383106567817,0.949,1.56337349959937,19.6835644367302,16.9070239492945,5e-05,5e-05,2013,7
200,"sine",TRUE,2137,"ML","ML",TRUE,"pkg","pkg_refined",0.494999999999891,0.0896780639887495,0.710467656883657,0.72,0.600478628657977,0.735,0.631771498969217,0.945,1.15535128551915,19.3220957864669,14.6811341339242,5e-05,5e-05,2014,7
500,"sine",TRUE,2138,"ML","ML",TRUE,"pkg","pkg_refined",1.72100000000046,0.0607194414130629,0.803380996826865,0.712,0.695215911778202,0.724,0.709227208562652,0.946,1.29362960799235,19.5605804065277,15.7301908839007,5e-05,5e-05,2015,7
1000,"sine",TRUE,2139,"ML","ML",TRUE,"pkg","pkg_refined",0.460000000000036,0.0505747298827255,1.01509529834088,0.702,0.663257159561228,0.705,0.669910380645525,0.952,1.29712950825582,19.7643844533016,16.7504797425631,5e-05,5e-05,2016,7
200,"smooth",FALSE,2140,"BIC","GCV",FALSE,"pkg","pkg_base",0.0640000000003056,0.0295505980516377,0.679316661501233,0.735,0.735396553505295,0.735,0.745665278364272,0.95,1.18221977588826,5.47056195593476,3.00247616194827,1000,1000,2017,8
500,"smooth",FALSE,2141,"BIC","GCV",FALSE,"pkg","pkg_base",0.229000000000269,0.0474165790094595,0.945133598961673,0.688,0.582199180454525,0.688,0.586369776904115,0.95,1.19387680042573,7.08727729284921,3.85799342460106,1000,579.044398060247,2018,8
1000,"smooth",FALSE,2142,"BIC","GCV",FALSE,"pkg","pkg_base",0.0959999999995489,0.0230220455654937,1.02357789201976,0.692,0.61713004482134,0.695,0.619570571833551,0.949,1.22644831692342,7.86260916476993,3.94390057857435,1000,1000,2019,8
200,"piecewise",FALSE,2143,"BIC","GCV",FALSE,"pkg","pkg_base",0.457000000000335,0.0489438240995191,1.41136297438102,0.725,0.859486968864096,0.725,0.871837378794139,0.95,1.62649749171117,5.62624853038211,16.6453738167667,1000,0.0407539296587177,2020,8
500,"piecewise",FALSE,2144,"BIC","GCV",FALSE,"pkg","pkg_base",0.121000000000095,0.0301042179640822,1.12167540163111,0.686,0.765299407030579,0.692,0.770276639064236,0.948,1.42403813713285,6.44074098925361,4.69357245909573,1000,194.149194574388,2021,8
1000,"piecewise",FALSE,2145,"BIC","GCV",FALSE,"pkg","pkg_base",0.118000000000393,0.0315230135622845,1.09284836271805,0.707,0.802062366041374,0.711,0.804995570853166,0.951,1.51782688257197,7.27422953311901,3.94639557228098,1000,1000,2022,8
200,"sine",FALSE,2146,"BIC","GCV",FALSE,"pkg","pkg_base",0.519000000000233,0.0552414227977564,2.02620635039343,0.745,0.749151403457576,0.745,0.762367632255757,0.95,1.48881987775746,6.87420263306442,20.0135454045575,1000,1e-04,2023,8
500,"sine",FALSE,2147,"BIC","GCV",FALSE,"pkg","pkg_base",0.225000000000364,0.0296791952623774,0.977820552830725,0.682,0.62248357198899,0.69,0.626879402814159,0.954,1.25678645230688,6.98765841562725,4.48833374666864,1000,255.140652003128,2024,8
1000,"sine",FALSE,2148,"BIC","GCV",FALSE,"pkg","pkg_base",0.166999999999462,0.0258989023062593,0.757568436332883,0.715,0.668716083412362,0.719,0.671322107271086,0.95,1.22315789940616,7.74878696280226,4.37516285564895,1000,579.044398060247,2025,8
200,"smooth",TRUE,2149,"BIC","GCV",FALSE,"pkg","pkg_base",0.481999999999971,0.048703981930573,0.957230170701492,0.71,0.542471515711086,0.715,0.54882327027737,0.95,1.18107722407983,4.60257468145056,4.78344156245977,1000,9.61724871115295,2026,8
500,"smooth",TRUE,2150,"BIC","GCV",FALSE,"pkg","pkg_base",0.170999999999367,0.0293596927514241,0.994244879345362,0.692,0.640419485709596,0.694,0.643467244583905,0.948,1.19166663796596,4.72524708073623,4.04384052366153,1000,1000,2027,8
1000,"smooth",TRUE,2151,"BIC","GCV",FALSE,"pkg","pkg_base",0.115999999999985,0.0202596391914721,1.01544373781341,0.688,0.629069905138637,0.688,0.630638052456597,0.949,1.25017690008565,4.96702647807079,4.08414192207756,1000,1000,2028,8
200,"piecewise",TRUE,2152,"BIC","GCV",FALSE,"pkg","pkg_base",0.368000000000393,0.059788159653595,1.30900957240025,0.72,0.787960091367786,0.72,0.796477524390347,0.95,1.74049412586935,4.25468016958963,7.02760264562498,1000,0.0535566691770689,2029,8
500,"piecewise",TRUE,2153,"BIC","GCV",FALSE,"pkg","pkg_base",0.279000000000451,0.0514034940154788,1.07173515904,0.728,0.842308778702042,0.732,0.846135064501256,0.95,1.59398939767032,4.51185092166947,6.70149225231964,1000,0.275853161762918,2030,8
1000,"piecewise",TRUE,2154,"BIC","GCV",FALSE,"pkg","pkg_base",0.769000000000233,0.0499212009881724,1.14697976174186,0.675,0.757060477333789,0.676,0.758888135082647,0.951,1.45662269056628,4.81087326781671,7.39585296861665,1000,0.209910372010855,2031,8
200,"sine",TRUE,2155,"BIC","GCV",FALSE,"pkg","pkg_base",0.0579999999999927,0.0572869159766752,0.818405013497878,0.73,0.769879576880796,0.74,0.778340987373343,0.95,1.3351076206667,4.3247986276003,4.01589766006218,1000,1000,2032,8
500,"sine",TRUE,2156,"BIC","GCV",FALSE,"pkg","pkg_base",0.344000000000051,0.0455016687832663,0.804714374489592,0.696,0.652317939738243,0.696,0.65615777769315,0.95,1.17252085370672,5.83488204764474,4.03518116955428,49.5353520895916,1000,2033,8
