"n","tp","tp_flag","seed","criterion_mu","criterion_sigma","refine","backend","stage","time_sec","rmse_mu","nll","coverage_raw","ci_len_raw","coverage_infl","ci_len_infl","coverage_cal","ci_len_cal","edf_mu","edf_sigma","lambda_mu","lambda_sigma","id","rep"
1000,"smooth",FALSE,20124,"ML","ML",FALSE,"pkg","pkg_base",0.710000000002765,0.0396362724194373,0.94962465286726,0.712,0.660500973667596,0.721,0.667698688208832,0.948,1.27083731642373,21.4435635021231,20.1359003575452,1e-04,1e-04,20001,70
200,"piecewise",FALSE,20125,"ML","ML",FALSE,"pkg","pkg_base",0.432000000000698,2.48701354488201,1.09764369963483,0.775,4.24966892055008,0.795,4.49806183436669,0.95,7.10071262674191,21.4789863874427,20.0121410431249,1e-04,1e-04,20002,70
500,"piecewise",FALSE,20126,"ML","ML",FALSE,"pkg","pkg_base",0.340000000000146,0.0782483335815861,1.03572518733157,0.706,0.76232241677696,0.71,0.779281888859262,0.95,1.49087105559545,21.5261371238704,20.0926467971046,1e-04,1e-04,20003,70
1000,"piecewise",FALSE,20127,"ML","ML",FALSE,"pkg","pkg_base",0.675999999999476,0.0651962113831687,1.11071734970131,0.73,0.854434040607197,0.733,0.863412096332542,0.95,1.58989625277542,20.6885628321168,20.1207988757509,1e-04,1e-04,20004,70
200,"sine",FALSE,20128,"ML","ML",FALSE,"pkg","pkg_base",0.432000000000698,3.09255453330863,1.52797936292785,0.735,4.5336419580362,0.76,4.8010884836959,0.95,9.87071413648388,21.6615404195235,20.0323702826148,1e-04,1e-04,20005,70
500,"sine",FALSE,20129,"ML","ML",FALSE,"pkg","pkg_base",0.518000000000029,0.0740587477206192,0.782318147840017,0.71,0.657218129684159,0.716,0.671511638931565,0.944,1.20212683214381,21.0590350783599,20.0754304135122,1e-04,1e-04,20006,70
1000,"sine",FALSE,20130,"ML","ML",FALSE,"pkg","pkg_base",0.689000000002125,0.0441025403734204,0.790112919486352,0.723,0.683553512249401,0.727,0.690938700902329,0.95,1.22866580682804,21.2630156958827,20.0941294018435,1e-04,1e-04,20007,70
200,"smooth",TRUE,20131,"ML","ML",FALSE,"pkg","pkg_base",0.158999999999651,0.0957361732140828,0.665266962844494,0.75,0.671893688136109,0.755,0.705224359627243,0.945,1.14392026651021,18.4582550256627,13.2509715311692,1e-04,1e-04,20008,70
500,"smooth",TRUE,20132,"ML","ML",FALSE,"pkg","pkg_base",0.386000000002241,0.0919025462264807,0.845756545658156,0.696,0.63001690657053,0.706,0.64255499046362,0.95,1.15237269619546,19.3224825866223,14.8025402597576,1e-04,1e-04,20009,70
1000,"smooth",TRUE,20133,"ML","ML",FALSE,"pkg","pkg_base",0.167999999997846,0.0482925133302865,1.04058456091512,0.693,0.653129815551792,0.695,0.659621688677223,0.95,1.31866083013305,19.5867651606412,15.6615788081482,1e-04,1e-04,20010,70
200,"piecewise",TRUE,20134,"ML","ML",FALSE,"pkg","pkg_base",0.494999999998981,0.0757648015170636,1.27543886230869,0.7,0.700201492819555,0.715,0.734422703209479,0.95,1.52448932613878,18.2041895778873,13.2814263896406,1e-04,1e-04,20011,70
500,"piecewise",TRUE,20135,"ML","ML",FALSE,"pkg","pkg_base",0.599999999998545,0.100319779779601,1.22995663657152,0.684,0.753825305823604,0.692,0.768709627178784,0.95,1.52196375036538,19.1752789510564,14.7401382834049,1e-04,1e-04,20012,70
1000,"piecewise",TRUE,20136,"ML","ML",FALSE,"pkg","pkg_base",0.762000000002445,0.0556793734445906,1.28655984449581,0.677,0.79996039131601,0.682,0.807838827462685,0.948,1.61510990398612,19.4098602800791,15.6388918399978,1e-04,1e-04,20013,70
200,"sine",TRUE,20137,"ML","ML",FALSE,"pkg","pkg_base",0.119000000002416,0.0904962702566038,0.893725673950622,0.745,0.671244190257833,0.77,0.704460185830166,0.95,1.35523352336866,18.4157540420365,13.4744124465722,1e-04,1e-04,20014,70
500,"sine",TRUE,20138,"ML","ML",FALSE,"pkg","pkg_base",0.132000000001426,0.0666217798176953,0.950763034935605,0.718,0.714973518168278,0.72,0.729042319279856,0.95,1.39827099439239,19.111448122333,14.6229133907646,1e-04,1e-04,20015,70
1000,"sine",TRUE,20139,"ML","ML",FALSE,"pkg","pkg_base",0.77900000000227,0.0438030257416669,0.882451383687122,0.701,0.673424520890206,0.707,0.68011060405211,0.952,1.25308107051722,19.5651073056399,15.6503579143366,1e-04,1e-04,20016,70
200,"smooth",FALSE,20140,"BIC","GCV",TRUE,"pkg","pkg_refined",0.941999999999098,0.04974823429765,0.886290939564332,0.685,0.662010038526482,0.69,0.669166821241092,0.945,1.1270930402761,4.25515015571907,2.8972613885178,5000,1241.44644028017,20017,70
500,"smooth",FALSE,20141,"BIC","GCV",TRUE,"pkg","pkg_refined",0.332999999998719,0.0156245400776316,0.929631716608244,0.712,0.672591560968621,0.714,0.67593158083757,0.948,1.25153113243528,4.9291504088912,2.81062445213221,5000,3668.7339853257,20018,70
1000,"smooth",FALSE,20142,"BIC","GCV",TRUE,"pkg","pkg_refined",0.283999999999651,0.017906189721725,1.10665662364853,0.672,0.613591951615631,0.672,0.615389903524071,0.952,1.23883438332523,5.83475846998348,2.97528114080233,5000,5000,20019,70
200,"piecewise",FALSE,20143,"BIC","GCV",TRUE,"pkg","pkg_refined",0.613000000001193,0.0352509236784452,1.13795015031608,0.665,0.715461470086132,0.67,0.722944750139778,0.95,1.35394290858072,4.11901558732817,2.36372805169194,5000,5000,20020,70
